heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp3,fp5,0-1%,13,0.0007326873479038006,0.0,0.0,0.006197465813574206,109090,322,0.0029516912640938676,0.020061728395061727
fp3,fp5,1-5%,19,0.027460161464228017,0.0225982666015625,0.010044114728824168,0.047339264730569076,1163382,31788,0.027323785308694823,0.029320987654320986
fp3,fp5,10-25%,29,0.15205286344588914,0.14874645005649373,0.10236220472440945,0.24722616485814142,1726806,268591,0.15554208173935,0.044753086419753084
fp3,fp5,25-50%,21,0.32857448568985737,0.3176976836451308,0.2592321308673625,0.47842352797459076,1191896,388031,0.3255577667850215,0.032407407407407406
fp3,fp5,5-10%,26,0.0753099100118117,0.07517609505172433,0.052459716796875,0.09923838886429891,1570056,118593,0.07553424845992754,0.040123456790123455
fp3,fp5,>50%,25,0.6975609471953652,0.7012786865234375,0.5058306367910129,0.993865966796875,1547454,1077479,0.6962914568058243,0.038580246913580245
fp3,fp6,0-1%,5,0.007394262986366029,0.008396794508373811,0.002999555621389424,0.009731567903914334,212162,1586,0.00747541972643546,0.007716049382716049
fp3,fp6,1-5%,15,0.029683502681771244,0.025641418631027188,0.010988603036715299,0.049808897722060846,866846,27440,0.03165498831395657,0.023148148148148147
fp3,fp6,10-25%,20,0.16707995568143807,0.16364031994808043,0.10871360411059457,0.23330782182764426,1198871,200673,0.16738498136997224,0.030864197530864196
fp3,fp6,25-50%,21,0.34513567920771254,0.33633101763493395,0.2506382913666315,0.48618395901827355,1267422,437871,0.3454816154366896,0.032407407407407406
fp3,fp6,5-10%,10,0.07270182721713157,0.07153846863547382,0.05952544441901274,0.08975524475524475,579197,41896,0.07233462880505251,0.015432098765432098
fp3,fp6,>50%,6,0.6454822204381613,0.6177667323225944,0.5422585934746296,0.7666157838497939,391182,252576,0.6456738807000322,0.009259259259259259
fp3,fp7,0-1%,2,0.00212860107421875,0.00212860107421875,1.52587890625e-05,0.004241943359375,131072,279,0.00212860107421875,0.0030864197530864196
fp3,fp7,1-5%,21,0.030804011112679355,0.029358358129243915,0.013275146484375,0.0487518310546875,1376247,42394,0.03080406351476152,0.032407407407407406
fp3,fp7,10-25%,17,0.16428558411676228,0.157257080078125,0.1002197265625,0.2376251220703125,1113681,182987,0.16430827139908105,0.026234567901234566
fp3,fp7,25-50%,22,0.34338864413174713,0.34772491455078125,0.2541656494140625,0.4903717041015625,1441792,495095,0.34338864413174713,0.033950617283950615
fp3,fp7,5-10%,22,0.07017862163470825,0.06699371337890625,0.050689697265625,0.09722900390625,1441331,101155,0.07018165848094574,0.033950617283950615
fp3,fp7,>50%,11,0.6741943359375,0.6631927490234375,0.5011138916015625,0.858062744140625,720896,486024,0.6741943359375,0.016975308641975308
fp4,fp1,0-1%,9,0.0042240852402690545,0.0044403076171875,0.00030517578125,0.009246826171875,525721,2402,0.004568963385521979,0.015625
fp4,fp1,1-5%,27,0.02982872031495311,0.0286024232608596,0.012176513671875,0.049747579370559625,1768852,52757,0.029825559176234077,0.046875
fp4,fp1,10-25%,24,0.15580365518696795,0.13683319091796875,0.114715576171875,0.246422844926319,1572797,245043,0.15580078039314674,0.041666666666666664
fp4,fp1,25-50%,8,0.3517848118814722,0.3590297822093206,0.25806451612903225,0.4831837880730025,524268,184429,0.35178382048875767,0.013888888888888888
fp4,fp1,5-10%,34,0.0743963737088077,0.07300881924130607,0.05001907377737087,0.0993194580078125,2227601,165730,0.07439842233865042,0.059027777777777776
fp4,fp1,>50%,6,0.6169901247011195,0.5988006591796875,0.5255584716796875,0.7626249523082793,393205,242602,0.6169860505334368,0.010416666666666666
fp4,fp2,0-1%,3,0.0017915516251321092,0.001359311282283643,0.0011476664116296864,0.0028676771814829987,7262,13,0.0017901404571743322,0.005208333333333333
fp4,fp2,1-5%,20,0.0296525641246215,0.027116939508699908,0.0119781494140625,0.04818741764471547,1293259,38196,0.029534687174030877,0.034722222222222224
fp4,fp2,10-25%,30,0.15087046186532013,0.14556884765625,0.10359246711229131,0.24791982715027813,1965640,296533,0.15085824464296615,0.052083333333333336
fp4,fp2,25-50%,25,0.3584854172293454,0.38109481587742455,0.2570953369140625,0.4802929732204166,1598036,576846,0.3609718429372054,0.043402777777777776
fp4,fp2,5-10%,15,0.07057599185237903,0.0685577392578125,0.05106058293911186,0.09466827603429617,917793,65045,0.07087110056407055,0.026041666666666668
fp4,fp2,>50%,21,0.7424395127656958,0.684356689453125,0.583404541015625,0.9493995391634749,1358218,1010410,0.7439232877196444,0.036458333333333336
fp4,fp3,0-1%,4,0.0034303349632223176,0.0021134942318833208,0.0011476664116296864,0.008346684977492943,72797,560,0.00769262469607264,0.006944444444444444
fp4,fp3,1-5%,13,0.02789748498069524,0.02298146162095909,0.014556884765625,0.046202777918760256,758282,20304,0.026776318045265483,0.022569444444444444
fp4,fp3,10-25%,26,0.1718456840824812,0.17420027838567104,0.10053015140635264,0.24085496183206107,1528260,264016,0.1727559446691008,0.04513888888888889
fp4,fp3,25-50%,30,0.3591156920008793,0.3609430543758126,0.2566389249446438,0.4848730003663451,1737264,630317,0.362821655200361,0.052083333333333336
